aa	啊啊|吖吖|阿阿
adidasi	阿迪达斯
adie	阿爹
ading	吖啶
adiping	阿的平
adjz	暗度金针
adlx	案牍劳形
adly	安堵乐业
admz	暗斗明争
adong	呵冻
adou	阿斗
adrg	安堵如故|按堵如故
adse	挨冻受饿
adu	阿杜|阿堵|阿睹
aduan	阿段
adui	阿堆|阿对
aduiquan	阿对泉
adundoukelimu	阿不都克里木
adundukelimu	阿不都克里木
aduo	阿朵|阿多|呵咄
aduoxiang	阿多乡
aduwu	阿堵物
adwg	暗淡无光|黯淡无光
adzl	案牍之劳
ae	阿阿
aebs	哀而不伤
aer	阿尔
aerbaniya	阿尔巴尼亚
aerbeisi	阿尔卑斯
aerbeisishan	阿尔卑斯山
aerbeisishanmai	阿尔卑斯山脉
aerbengeleizhen	阿尔本格勒镇
aerbengelezhen	阿尔本格勒镇
aerfa	阿尔法
aerfashexian	阿尔法射线
aerjier	阿尔及尔
aerjiliya	阿尔及利亚
aerjinshan	阿尔金山
aerka	阿尔卡
aerkate	阿尔卡特
aerpaidianzi	阿尔派电子
aerqia	阿尔卡
aershan	阿尔山
aershanshi	阿尔山市
aersitong	阿尔斯通
aertaishan	阿尔泰山
afa	阿法
afan	嗄饭
afandidegushi	阿凡提的故事
afandidigushi	阿凡提的故事
afang	阿房
afangdian	阿房殿
afanggong	阿房宫
afanggongfu	阿房宫赋
afangsilu	阿房四路
afangyiluxikou	阿房一路西口
afantidegushi	阿凡提的故事
afantidigushi	阿凡提的故事
afei	阿飞
afen	阿忿
afeng	阿奉
afjf	挨风缉缝
aflc	鳌愤龙愁
afomazu	呵佛骂祖
afozu	呵佛祖
afqf	捱风缉缝
afsj	安分守己|安分守已|安份守己
afu	阿福|阿辅|阿父|阿负|阿附|阿阜|阿傅
afuhan	阿富汗
afumazu	呵佛骂祖
afurong	阿芙蓉
afuronggao	阿芙蓉膏
afuzu	呵佛祖
afxp	爱富嫌贫|安富恤贫
afxq	安富恤穷
afzr	安富尊荣
afzz	安分知足
aga	阿伽
agam	阿狗阿猫
agamennong	阿伽门农
agan	阿甘|阿干
agao	阿缟
agatuoyao	阿伽陀药
agaw	阿姑阿翁|阿家阿翁
agbf	哀告宾服
age	阿哥|阿阁|阿合|呵格
agebielidouxiang	阿合别里斗乡
agechao	阿各绰
agechuo	阿各绰
ageji	阿合奇
agejinongchang	阿合其农场
agemaidijiang	阿合买提江
agemaitijiang	阿合买提江
agenting	阿根廷
agentingdui	阿根廷队
ageqi	阿合奇
ageqinongchang	阿合其农场
ageyaxiang	阿合亚乡
ageyazimuchang	阿合牙孜牧场
agfm	安国富民
agll	傲骨嶙嶙
agnj	安国宁家
agong	阿公
agou	呵诟
agouamao	阿狗阿猫
agouemao	阿狗阿猫
agrj	爱国如家
agsy	熬更守夜
agtd	哀感天地
agu	阿姑|阿谷
aguaweng	阿姑阿翁|阿家阿翁
agubai	阿古柏
agubo	阿古柏
agui	阿贵
agulazhen	阿古拉镇
agupo	阿姑婆
agwy	哀感顽艳
agzb	岸谷之变
agzn	哀感中年
agzq	安故重迁
aha	啊哈
ahaier	阿孩儿
ahan	阿含
ahao	阿好
ahbd	哀鸿遍地
ahby	哀鸿遍野
ahdp	安魂定魄
ahe	阿合|呵吓|阿河
ahebielidouxiang	阿合别里斗乡
aheji	阿合奇
ahejinongchang	阿合其农场
ahemaidijiang	阿合买提江
ahemaitijiang	阿合买提江
aheng	阿衡
aheqi	阿合奇
aheqinongchang	阿合其农场
aheyaxiang	阿合亚乡
aheyazimuchang	阿合牙孜牧场
ahgl	哀毁骨立
ahjl	哀毁瘠立
ahong	阿訇
ahongkou	阿洪口
ahonglukumuxiang	阿洪鲁库木乡
ahou	阿侯
ahsz	爱鹤失众
ahu	呵呼
ahua	阿华
ahuan	阿环
ahudeyu	阿呼地狱
ahudiyu	阿呼地狱
ahui	呵会
ahun	阿浑
ahwj	懊悔无及
ahxc	黯晦消沉
aiai	爱爱|皑皑|唉唉|隘隘|嗌嗌|暧暧|僾僾|瞹瞹|哀哀|埃蔼|埃壒|啀啀|溰溰|蔼蔼|霭霭|艾艾
aiaicaca	挨挨擦擦
aiaicuocuo	挨挨错错
aiaier	捱捱儿
aiaifumu	哀哀父母
aiaihengheng	隘隘亨亨
aiaijiji	挨挨挤挤|捱捱挤挤
aiaiqiangqiang	挨挨抢抢
aiaiyaya	挨挨轧轧
aiaiyazha	挨挨轧轧
aiaiyujue	哀哀欲绝
aiaizanza	挨挨拶拶
aiaizanzan	挨挨拶拶
aiaizaza	挨挨拶拶
aiaizazan	挨挨拶拶
aiaizhaya	挨挨轧轧
aiaizhazha	挨挨轧轧
aian	艾安
aiaowazhou	艾奥瓦州
aibageer	爱八哥儿
aibai	皑白
aibao	隘薄|爱宝|爱寶
aibawuer	爱巴物儿
aibei	隘庳|哀悲|艾焙
aibi	隘庳|艾毕
aibian	挨边
aibianziderizidaole	挨鞭子的日子到了
aibianziderizidaoliao	挨鞭子的日子到了
aibianzidirizidaole	挨鞭子的日子到了
aibianzidirizidaoliao	挨鞭子的日子到了
aibieliku	爱别离苦
aibihu	艾比湖
aibingbisheng	哀兵必胜
aibo	隘薄
aiboerqingbuzhuan	爱博而情不专
aibu	挨捕
aibuai	爱不爱
aibude	挨不得|爱不得
aibudei	挨不得|爱不得
aiburenshi	爱不忍释
aibushang	挨不上
aibushanghao	挨不上号
aibushishou	爱不释手
aicai	蔼彩
aicaibuaiming	爱财不爱命
aicaidunaiming	爱财不爱命
aicairuke	爱才如渴
aicairuming	爱才如命|爱财如命
aicairuoke	爱才若渴
aicaisheming	爱财舍命
aican	哀惨
aice	哀册|哀恻|哀策
aicha	哀察|挨查|捱查
aichai	啀喍
aichanqu	哀蝉曲
aiche	爱车
aichen	埃尘|爱称
aicheng	爱城|爱称
aichi	爱吃
aichicu	爱吃醋
aichong	爱宠
aichou	哀愁
aichu	哀楚
aichuang	哀怆
aichuidehuo	挨锤的货
aichuidihuo	挨锤的货
aichuihaozhu	哀吹豪竹
aici	哀词|哀辞|捱次
aicui	哀摧|哀悴
aicuo	矮矬
aida	挨打|僾沓|哀怛|爱达
aidabuli	爱答不理
aidadunli	爱答不理
aidahezhou	爱达荷州
aidahuayuan	爱达花园
aidai	爱戴|僾逮
aidan	哀弹|哀石
aidao	哀悼|爱到
aidaodehuo	挨刀的货
aidaodihuo	挨刀的货
aidazui	爱搭嘴
aide	爱的|爱得
aidehua	爱德华
aidejiaoyu	爱的教育
aideng	矮凳
aidengbao	爱登堡
aidengpu	爱登堡
aideren	爱的人
aidi	捱抵
aidiao	哀吊
aidiaozhou	爱鸟周
aididaisha	爱地大厦
aididaixia	爱地大厦
aididasha	爱地大厦
aididaxia	爱地大厦
aidijiaoyu	爱的教育
aidimeidunshu	哀的美敦书
aidinghu	艾丁湖
aidisheng	爱迪生
aidong	哀恫
aidongshoue	挨冻受饿
aidou	爱都
aidu	哀顿|爱都
aiduan	隘短|碍断
aidudu	矮笃笃
aidun	哀顿
aidunde	挨不得|爱不得
aidundei	挨不得|爱不得
aidunrenshi	爱不忍释
aidunshang	挨不上
aidunshanghao	挨不上号
aidunshishou	爱不释手
aiduoduo	矮垛垛
aie	挨饿|隘厄|爱恶
aien	爱恩
aienguojixueyuan	爱恩国际学院
aier	埃尔|艾尔
aierbushang	哀而不伤
aierdunshang	哀而不伤
aierlan	爱尔兰
aierlandao	爱尔兰岛
aierlanren	爱尔兰人
aiermudongxiang	艾尔木东乡
aifangkaoyuan	挨坊靠院
aifeiertieta	埃菲尔铁塔
aifen	哀愤|埃氛
aifeng	哀风|霭峰
aifengjifeng	挨风缉缝|捱风缉缝
aifengqifeng	捱风缉缝|挨风缉缝
aifu	爱抚|艾服|爱服
aifudun	埃弗顿
aifusen	艾弗森
aifuxianpin	爱富嫌贫
aigai	哀丐
aigantiandi	哀感天地
aiganwanyan	哀感顽艳
aiganzhongnian	哀感中年
aigao	哀告
aigaobinfu	哀告宾服
aige	挨个|矮个|哀歌
aigen	爱根
aigeng	哀哽
aigezi	矮个子
aigong	挨贡
aigongjie	爱工街
aigou	埃垢
aigu	爱顾
aiguan	哀矜
aiguang	挨光|捱光
aiguanying	艾官营
aiguo	爱国|爱过|爱果
aiguobu	爱国布
aiguocun	爱国村
aiguodao	爱国道
aiguolu	爱国路
aiguorujia	爱国如家
aiguozhe	爱国者
aiguozhuyi	爱国主义
aiha	哎哈
aihai	隘害|爱海
aihang	隘巷
aihao	爱好|哀嚎|哀号|哀耗
aihaozhe	爱好者
aihe	哀壑|艾褐|爱河
aihei	挨黑
aihen	爱恨|哀恨
aiheshizhong	爱鹤失众
aihongbiandi	哀鸿遍地
aihongbianye	哀鸿遍野
aihou	嗌喉|哀厚
aihu	爱护|挨户|艾虎
aihua	爱华
aihualu	爱华路
aihuang	哀荒|哀惶|矮黄
aihui	哀毁|爱惠|爱辉
aihuiguli	哀毁骨立
aihuijili	哀毁瘠立
aihuixian	爱辉县
aihuixuan	爱辉县
aihun	埃昏
aihuo	爱火
aiji	埃及|哀激|哀急|哀祭|挨挤|捱挤|爱迹|爱藉
aijia	爱家|哀家|哀笳|艾猳|艾豭
aijiaaihu	挨家挨户
aijiabihu	挨家比户
aijiaihu	挨家挨户
aijiali	哀家梨
aijian	挨肩
aijianbingzu	挨肩并足
aijiancabang	挨肩擦膀
aijiancabei	挨肩擦背
aijiancalian	挨肩擦脸
aijiancapang	挨肩擦膀
aijiandabei	挨肩搭背
aijiandiebei	挨肩迭背|挨肩叠背
aijiao	隘角|碍脚|碍叫|哀角|哀叫|爱娇
aijiawan	艾家湾
aijiazui	艾家嘴
aijie	哀家|哀嗟|哀结|唉姐|爱藉
aijiebihu	挨家比户
aijieli	哀家梨
aijiewan	艾家湾
aijiezui	艾家嘴
aijin	哀矜|挨近
aijing	哀敬|爱景|爱敬
aijiong	隘窘
aijiu	哀疚|艾灸|艾酒
aijiyishu	埃及艺术
aijiyizhu	埃及艺术
aiju	隘局|哀惧
aijuan	隘狷|哀眷
aijue	隘角|隘絶|碍脚|哀角
aika	爱卡
aikan	爱看
aikang	艾康
aikao	挨靠|捱靠
aiken	哀恳
aikeyiyuan	艾克医院
aikong	霭空
aikou	隘口|哀叩|爱口
aikoushixiu	碍口识羞|爱口识羞
aikouzhixiu	爱口识羞
aiku	哀哭|哀苦|捱苦
aikuan	爱款
aikun	哀悃
ailai	挨赖
ailan	挨蓝
ailangxiang	矮郎乡
ailao	哀牢|艾老|爱老
aile	挨了|哀乐|爱乐
ailebanjiezi	矮了半截子
ailei	哀诔
aileyitou	矮了一头
aili	哀梨|哀厉|哀丽|爱力|爱利
ailian	爱恋|爱怜|哀怜|哀恋
ailiancun	爱联村
ailianlu	爱联路
ailianshui	爱莲说
ailianshuo	爱莲说
ailiaobanjiezi	矮了半截子
ailiaoyitou	矮了一头
ailicunyang	爱礼存羊
ailikesen	埃里克森
ailin	爱吝|哀临
ailing	矮岭
ailishe	爱丽舍
ailishegong	爱丽舍宫
ailisi	爱丽丝
ailiu	爱流
ailixihuzhen	艾里西湖镇
ailixin	爱立信
ailizhengshi	哀梨蒸食
ailong	哀弄
ailou	隘陋|矮陋|霭露
ailu	隘路|霭露
ailun	艾伦
ailv	爱侣
aima	挨骂
aimaichaoshi	爱买超市
aiman	哀曼|挨满
aimaofanqiu	爱毛反裘
aimaxiang	艾玛乡
aimei	暧昧|爱美|爱媚|埃煤|霭昧
aimeibuming	暧昧不明
aimeide	爱美的
aimeidi	爱美的
aimeizhiqing	暧昧之情
aimen	隘门|挨门
aimenaihu	挨门挨户
aimenlei	挨闷雷
aimenzhuhu	挨门逐户
aimi	哀迷
aimianzi	爱面子|碍面子
aimie	埃灭
aimin	爱民|爱悯|哀闵|哀悯|哀愍|艾缗
aiming	艾命
aiminjie	爱民街
aiminlu	爱民路
aiminruzi	爱民如子
aimo	哀默|埃墨|挨磨|捱磨
aimodayuxinsi	哀莫大于心死
aimonengzhu	爱莫能助
aimozhizhu	爱莫之助
aimu	爱慕|碍目|哀慕
aina	挨拿|艾纳
ainai	挨耐
ainan	碍难
ainancongming	碍难从命
ainao	挨闹
aini	爱你|爱昵|爱溺|僾尼
ainian	哀念|艾年
ainiao	爱溺
ainiaozhou	爱鸟周
ainong	哀弄
ainu	矮奴
ainv	爱女
ainvchier	騣女痴儿
ainvchinan	騣女痴男|騃女痴男
aio	嗌喔
aiou	嗌呕
aipai	哀迫|挨排|挨牌|捱牌
aipao	哀匏
aiping	哀平
aipo	哀迫
aipusheng	爱普生
aiqi	爱妻|嗳气|爱气|哀戚|哀慽|哀祈|哀启|哀气|哀泣|艾气
aiqianruming	爱钱如命
aiqiao	爱翘
aiqiaodadehuo	挨敲打的货
aiqiaodadihuo	挨敲打的货
aiqiaodehuo	挨敲的货
aiqiaodihuo	挨敲的货
aiqie	哀切
aiqin	爱亲
aiqing	爱情|爱亲|爱卿|哀情|哀请
aiqingguan	爱情观
aiqinggushi	爱情故事
aiqingpian	爱情片
aiqingshi	爱情是
aiqingzuoqin	爱亲做亲
aiqingzuoqing	爱亲做亲
aiqinhai	爱琴海
aiqinwenhua	爱琴文化
aiqinzuoqin	爱亲做亲
aiqinzuoqing	爱亲做亲
aiqiong	隘穷|哀茕|哀惸
aiqiu	哀求|哀丘
aiqu	隘曲|隘阒|哀癯
aiquan	爱犬|哀劝
aique	哀悫
aiqundaisha	爱群大厦
aiqundaixia	爱群大厦
aiqundasha	爱群大厦
aiqundaxia	爱群大厦
airan	爱染|暧然|僾然|蔼然
airang	埃壤
airankeqin	蔼然可亲
airanrenzhe	蔼然仁者
airen	爱人|矮人|爱忍|隘人|哀人|艾人
airenguanchang	矮人观场
airenhaoshi	爱人好士
airenkanchang	矮人看场
airenkanhu	矮人看戏
airenkanxi	矮人看戏
airenliwu	爱人利物
airenyide	爱人以德
airi	爱日|暧日
airixili	爱日惜力
airizi	挨日子
airong	哀荣|哀容|艾绒
airongyuan	爱榕园
airu	蔼如
airui	艾瑞
airujichu	爱如己出
airuzhenbao	爱如珍宝
aisa	哀飒
aisai	隘塞|碍塞
aisaiebiya	埃塞俄比亚
aisandingsi	捱三顶四
aisandingwu	挨三顶五|捱三顶五
aise	爱色|爱啬|隘塞|碍塞
aisha	爱杀|艾杀
aishai	爱色
aishang	爱上|哀伤|爱赏|爱尚
aishangaixia	碍上碍下
aishanggou	爱上钩
aishangta	爱上他
aishangwo	爱上我
aishangyige	爱上一个
aishaniya	爱沙尼亚
aishaniyaren	爱沙尼亚人
aishansaihai	挨山塞海
aishansehai	挨山塞海
aishe	隘慑
aishen	爱神|爱身|挨身
aisheng	爱省|哀声
aishenghuo	爱生活
aishengtanqi	哀声叹气|唉声叹气|嗳声叹气
aishengwusi	爱生恶死
aishi	爱是|爱嗜|碍事|哀石|哀时|哀识
aishijian	挨时间
aishou	碍手|艾绶
aishouaijiao	碍手碍脚
aishouaijue	碍手碍脚
aishoufanqiu	爱手反裘
aishu	爱树|隘束|哀书|哀恕
aishuang	艾孀
aishui	爱水
aishuishashuisha	爱说啥说啥
aishuishashuosha	爱说啥说啥
aishuo	挨说
aishuoshashuisha	爱说啥说啥
aishuoshashuosha	爱说啥说啥
aisi	爱死|哀思|哀丝
aisihaozhu	哀丝豪竹
aisijimoren	爱斯基摩人
aisiruchao	哀思如潮
aisu	哀诉|哀素|挨宿
aisuan	嗳酸|哀酸
aisuhaogu	爱素好古
aita	爱他|爱她|僾沓
aitai	哀骀
aitan	哀叹|哀弹
aitang	爱棠|挨搪
aitaoyishuiyuan	爱涛漪水园
aitengteng	霭腾腾
aitian	哀舑
aitianjiaodi	哀天叫地
aiting	爱听|哀听
aitong	哀痛
aitongdunfu	騣童钝夫|騃童钝夫
aitongyujue	哀痛欲绝
aitongzhao	哀痛诏
aitou	爱偷
aitouainao	呆头呆脑
aitoudainao	呆头呆脑
aitu	埃土
aitui	挨推
aituo	挨脱
aituoao	埃托奥
aiwa	哀哇
aiwan	爱玩|碍挽|哀挽|哀婉|哀惋|挨晩
aiwang	爱网
aiwangsun	哀王孙
aiweier	艾薇儿
aiweiergoujiedao	艾维尔沟街道
aiwen	哀文
aiwo	爱我|嗌喔
aiwowo	爱窝窝|艾窝窝
aiwu	爱物|哀乌|埃雾|矮屋|爱恶
aiwuer	爱物儿
aiwujiwu	爱屋及乌
aiwulang	哀乌郎
aixi	爱惜|爱习|哀惜
aixia	爱狎|隘狭
aixian	隘险|哀弦
aixiang	隘巷|爱向|哀响
aixiao	矮小|爱笑|爱小|艾萧
aixibao	癌细胞
aixie	哀些
aiximanhu	艾西曼湖
aixin	爱心|哀心|爱新
aixing	爱省|爱幸|隘形|矮星
aixinlu	爱心路
aixiong	哀凶
aixiu	挨宿
aixiyumao	爱惜羽毛
aixu	爱恤|哀恤|哀吁
aixue	皑雪
aiya	哎呀|哀雅|嗳呀
aiyan	碍眼|爱眼|爱焰|哀咽|哀艳|挨延|捱延
aiyang	爱养
aiyao	哀钥
aiyaya	哎呀呀
aiye	碍夜|哎也|哀咽|挨也
aiyi	爱意|爱异|嗌嗌|僾唈|餲饐|挨倚|艾艾|艾衣
aiyigeren	爱一个人
aiyijiezi	矮一截子
aiyin	哀音|哀隐
aiying	哀郢
aiyinhuowen	埃因霍温
aiyinsitan	爱因斯坦
aiyo	哎哟|嗳哟
aiyou	哎呦|爱友|哀忧|哀狖|哀宥|嗳呦
aiyu	爱与|碍于|爱育|爱欲|爱遇|爱誉|哀娱|哀玉|哀吁|哀郁|埃郁|昹宇|蔼郁|霭郁
aiyuan	哀怨|爱缘|艾怨
aiyue	爱悦|哀乐|哀钥|爱乐
aiza	挨匝|挨拶|挨杂
aizai	爱在
aizan	哀赞|挨拶
aizelasi	艾泽拉斯
aizeng	爱憎
aizengfenming	爱憎分明
aizha	挨查|捱查
aizhanbianyi	爱占便宜
aizhang	哀杖|昹章|艾帐
aizhanpianyi	爱占便宜
aizhao	爱着|哀诏
aizhe	爱着|挨着
aizheng	癌症|哀筝|哀拯
aizhenghu	艾丁湖
aizheni	爱着你
aizhi	爱之|爱智|隘制|哀识|矮纸
aizhiyuqisheng	爱之欲其生
aizhong	癌肿
aizhuan	哀转|哀啭
aizhuang	哀壮
aizi	矮子|艾滋|爱子|呆子|哀子
aizibing	艾滋病|爱滋病
aiziguanchang	矮子观场
aiziji	爱自己
aizikanhu	矮子看戏
aizikanxi	矮子看戏
aizu	隘阻
aizuaishou	碍足碍手
ajah	挨家挨户
ajbz	挨肩并足
ajcb	挨肩擦膀|挨肩擦背
ajcl	挨肩擦脸
ajcm	案剑瞋目
ajdb	挨肩搭背|挨肩迭背|挨肩叠背
aji	阿吉|呵诘
ajia	阿伽|阿家
ajiaaweng	阿家阿翁
ajialuxiang	阿迦炉香|阿迦嚧香
ajiamennong	阿伽门农
ajian	阿监|阿囝
ajiang	呵奬
ajianiya	阿加尼亚
ajiao	阿娇|阿胶|呵胶
ajiaojinwu	阿娇金屋
ajiatuoyao	阿伽陀药
ajie	阿姐|阿家|阿街|阿结|阿借|呵诘
ajimide	阿基米德
ajin	呵禁
ajina	阿其那
ajinei	阿其那
ajing	阿井
ajingjiao	阿井胶
ajiu	阿舅
ajjw	阿娇金屋
ajlh	安家落户
ajly	安家乐业|安家立业|安居乐业
ajmq	暗箭明枪
ajnf	暗箭难防
ajqb	按甲寝兵
ajsr	暗箭伤人
aju	呵沮
ajxb	按甲休兵|案甲休兵
ajxc	熬姜呷醋
ajzr	暗箭中人
aka	阿卡
akaliusi	阿喀琉斯
ake	阿匼
akechao	阿磕绰|阿可绰
akechi	阿可赤
akechuo	阿磕绰|阿可绰
akedikandunxiang	阿克提坎墩乡
akela	阿克拉
akelixiang	阿科里乡
akemola	阿克莫拉
akendanchanghui	阿肯弹唱会
akendanchangkuai	阿肯弹唱会
akenren	阿肯人
akensezhou	阿肯色州
akenshaizhou	阿肯色州
akentanchanghui	阿肯弹唱会
akentanchangkuai	阿肯弹唱会
akesai	阿克塞
akese	阿克塞
akesupuxiang	阿克苏普乡
akesushi	阿克苏市
akesuxian	阿克苏县
akesuxuan	阿克苏县
aketao	阿克陶
aketaozhen	阿克陶镇
aketikandunxiang	阿克提坎墩乡
aketubiekexiang	阿克吐别克乡
aketuohaiyixiang	阿克托海依乡
akeyao	阿克陶
akeyaozhen	阿克陶镇
aksd	熬枯受淡
aksx	碍口识羞
akuai	呵会
akuang	阿况
akuina	阿奎那
ala	阿拉|阿剌
alabaihai	阿拉伯海
alabaihe	阿拉伯河
alabaijiao	阿拉伯胶
alabairen	阿拉伯人
alabaiyu	阿拉伯语
alabatu	阿拉巴图
alabo	阿拉伯
alabobandao	阿拉伯半岛
alaboguojia	阿拉伯国家
alabohai	阿拉伯海
alabohe	阿拉伯河
alabojiao	阿拉伯胶
alaboren	阿拉伯人
alaboshuzi	阿拉伯数字
alaboyu	阿拉伯语
alaershi	阿拉尔市
alaershiou	阿拉尔市区
alaershiqu	阿拉尔市区
alafate	阿拉法特
alageerxiang	阿拉格尔乡
alagouxiang	阿拉沟乡
alailai	阿来来
alaiye	阿赖耶
alaiyeshi	阿赖耶识
alaiyezhi	阿赖耶识
alaji	阿拉奇|阿剌吉
alajijiu	阿剌吉酒
alajiu	阿剌酒
alan	阿兰|阿滥
alandui	阿滥堆
alang	阿郎
alangxiang	阿朗乡
alangyu	呵浪鱼
alangzasui	阿郎杂碎
alanruo	阿兰若
alao	阿老|阿姥
alaqi	阿拉奇|阿拉气
alashancun	阿拉善村
alashankou	阿拉山口
alasijia	阿拉斯加
alasijiazhou	阿拉斯加州
alaxi	阿拉希
alcb	安良除暴
alcy	爱礼存羊
aldz	鳌里夺尊
aleimaleixiang	阿勒玛勒乡
aleimalexiang	阿勒玛勒乡
aleitailu	阿勒泰路
aleitaishi	阿勒泰市
aleitaixian	阿勒泰县
aleitaixuan	阿勒泰县
alemaleixiang	阿勒玛勒乡
alemalexiang	阿勒玛勒乡
aletailu	阿勒泰路
aletaishi	阿勒泰市
aletaixian	阿勒泰县
aletaixuan	阿勒泰县
alhs	安老怀少
ali	阿里|阿梨|阿黎
alian	阿联|阿连|阿练
alianqiu	阿联酋
alibaba	阿里巴巴
alide	阿里地
alidi	阿里地
alihetuo	阿梨诃陀
alile	呵黎勒
alilei	呵黎勒
aling	阿领
alishan	阿里山
aliushenqundao	阿留申群岛
aliyeshi	阿黎耶识
aliyezhi	阿黎耶识
along	阿龙
alongsuo	阿隆索
alou	阿搂
aluan	呵卵
aluanpao	呵卵脬
aluba	阿鲁巴
alubadao	阿鲁巴岛
alun	阿伦
aluo	阿罗|阿洛
aluodan	呵罗单
aluohan	阿罗汉
aluohanguo	阿罗汉果
aluoluo	呵罗罗
aluoshan	呵罗单
aluoye	阿罗耶
aluoyeshi	阿罗耶识
aluoyezhi	阿罗耶识
alw	安乐窝
alxh	暗绿稀红
alzs	哀梨蒸食
ama	阿妈|阿马
amadui	阿摩敦
amadun	阿摩敦
amag	阿猫阿狗
amah	挨门挨户
amai	阿买
aman	阿曼|阿蛮|阿瞒
amang	阿莽
amao	阿毛
amaoagou	阿猫阿狗
amaoegou	阿猫阿狗
ambm	暧昧不明
ambx	傲慢不逊
amby	鳌鸣鳖应
amdy	安眉带眼
amdyxs	哀莫大于心死
amei	阿妹|阿梅|阿没|阿昧|阿媚
amen	阿门|阿们
ameng	阿蒙
amenshi	阿门诗
amfq	爱毛反裘
amgs	安民告示
ami	阿弥|阿米
amianhuashi	阿绵花屎
amiba	阿弥巴
amibaliji	阿米巴痢疾
amiling	阿弥岭
aming	阿明
amituo	阿弥陀
amituofo	阿弥陀佛
amituofu	阿弥陀佛
amld	鞍马劳顿
amlj	鞍马劳倦
amlk	鞍马劳困
amls	鞍马劳神
amnz	爱莫能助
amo	阿没|阿磨
amocangxiang	阿万仓乡
amodui	阿摩敦
amodun	阿摩敦
amrz	爱民如子
amsl	傲慢少礼
amu	阿木|阿姥|阿母|阿姆
amuhulang	阿木忽郎
amulin	阿木林
amuquhuzhen	阿木去乎镇
amusitedan	阿姆斯特丹
amuta	阿木塔
amuxiang	阿木乡
amuzi	阿母子
amwl	傲慢无礼
amwq	奥妙无穷
amzh	挨门逐户
amzl	鞍马之劳
amzq	暧昧之情
amzs	按名责实|暗昧之事
amzz	爱莫之助
ana	阿那|阿娜
anabona	阿那波那
anabonei	阿那波那
anahan	阿那含
anahu	阿那忽
anai	暗蔼|暗暧|阿奶
anakuleixiang	阿纳库勒乡
anakulexiang	阿纳库勒乡
anan	安安|暗暗|阿囝|阿囡|阿难|呵难
anandaijie	广安大街
anandajie	广安大街
ananhutong	广安胡同
ananjiaoku	暗暗叫苦
ananjingjing	安安静静
ananlan	安安蓝
ananmen	广安门
ananmenbei	广安门北
ananmenbeizhan	广安门北站
ananmenhuozhan	广安门货站
ananmennan	广安门南
ananmennanzhan	广安门南站
ananmennei	广安门内
ananshi	广安市
ananshichang	广安市场
anantuo	阿难陀
ananwenwen	安安稳稳
ananxian	广安县
ananxuan	广安县
anao	阿挠
anaqu	阿那曲
anba	暗坝
anbalu	广八路
anban	安办
anbangdingguo	安邦定国
anbanghe	安邦河
anbangzhiguo	安邦治国
anbao	安保
anbei	安倍|厂北
anbeijiedao	安北街道
anbeilukou	厂北路口
anben	岸本
anbi	暗愎|暗蔽
anbian	岸边|安边|安便
anbili	按比例
anbing	暗病
anbingbudong	按兵不动
anbingbuju	按兵不举
anbingshujia	按兵束甲|案兵束甲
